date;temperaturemin;temperaturemax;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;day of year
01.01.2018;13.1;28.2;6.49;40;14.99;40;21.92;1
02.01.2018;12.2;32;2.91;30;10.07;20;14.09;2
03.01.2018;9.1;32;4.25;360;12.97;340;23.04;3
04.01.2018;18.1;30.2;9.62;300;21.03;350;33.11;4
07.01.2018;4.1;30.2;2.68;80;10.07;80;12.97;7
08.01.2018;16.2;46.9;5.37;220;16.11;230;19.01;8
09.01.2018;29.1;63;2.68;120;8.95;120;12.97;9
11.01.2018;41;64;6.71;150;14.99;130;23.04;11
12.01.2018;55.9;71.1;11.41;240;23.04;230;31.99;12
13.01.2018;29.1;55.9;9.62;230;23.04;230;29.08;13
14.01.2018;21.2;33.1;8.72;50;18.12;30;23.94;14
15.01.2018;17.2;39;3.8;40;12.08;50;14.99;15
16.01.2018;20.1;46.9;1.79;240;8.95;240;12.97;16
17.01.2018;23.2;37.9;5.82;30;18.12;20;25.05;17
18.01.2018;10.2;34;5.59;270;12.97;320;19.01;18
19.01.2018;19.2;48.9;3.58;230;12.08;230;12.97;19
20.01.2018;26.2;55.9;5.59;220;12.97;230;16.11;20
23.01.2018;46.9;70;15.66;230;31.99;240;42.05;23
24.01.2018;34;54;4.03;360;16.11;20;23.04;24
25.01.2018;26.2;48.9;3.13;350;12.97;10;19.91;25
26.01.2018;25.2;57;4.25;200;12.97;220;17;26
27.01.2018;31.1;66.9;6.26;170;17;190;21.92;27
28.01.2018;52;60.1;5.14;40;12.97;20;19.01;28
29.01.2018;33.1;52;8.05;360;14.99;20;25.05;29
30.01.2018;25.2;39.9;6.93;300;19.91;310;31.09;30
31.01.2018;19.2;46.9;5.82;200;14.99;200;21.92;31
01.02.2018;31.1;62.1;13.2;240;25.05;230;31.09;32
02.02.2018;24.3;57;7.83;220;23.04;230;29.97;33
03.02.2018;18.1;42.1;5.14;160;10.07;20;14.99;34
04.02.2018;33.1;55.9;6.49;170;27.96;170;36.91;35
05.02.2018;29.1;48;4.03;330;14.09;330;23.04;36
06.02.2018;29.1;59;5.37;240;14.09;230;21.03;37
07.02.2018;44.1;64.9;8.5;190;21.92;200;29.97;38
08.02.2018;33.1;50;3.36;360;12.97;20;21.03;39
09.02.2018;28.2;57.9;4.03;140;14.09;190;18.12;40
10.02.2018;43;64.9;4.47;200;16.11;180;23.04;41
13.02.2018;37;44.1;8.72;50;17;50;21.92;44
14.02.2018;37;57.9;6.49;220;14.99;210;25.05;45
15.02.2018;54;75;14.32;230;23.04;220;27.96;46
16.02.2018;55.9;81;13.42;230;25.95;230;33.11;47
17.02.2018;39.9;55.9;6.93;90;19.91;80;25.95;48
20.02.2018;50;72;3.36;200;12.97;190;17;51
21.02.2018;63;77;8.95;230;21.03;230;23.94;52
22.02.2018;61;78.1;9.84;230;18.12;230;25.05;53
23.02.2018;52;70;4.92;60;12.08;110;18.12;54
24.02.2018;57;78.1;11.18;220;23.04;220;27.07;55
25.02.2018;60.1;73;11.18;240;23.04;240;27.96;56
27.02.2018;35.1;61;2.24;110;14.99;50;19.01;58
28.02.2018;39;57;4.92;220;12.97;200;16.11;59
01.03.2018;50;57;4.47;220;14.99;260;21.03;60
02.03.2018;41;55;14.99;300;25.95;270;46.08;61
03.03.2018;35.1;57;8.72;340;17;350;27.96;62
04.03.2018;35.1;55.9;6.93;40;21.03;20;27.96;63
05.03.2018;26.2;54;4.7;50;12.97;50;19.91;64
06.03.2018;32;42.1;4.47;140;12.97;130;18.12;65
09.03.2018;25.2;52;6.04;260;17;250;25.05;68
10.03.2018;37.9;55.9;3.13;140;12.08;140;14.99;69
11.03.2018;37.9;48.9;7.83;80;16.11;80;21.92;70
12.03.2018;32;37.9;7.16;30;14.09;30;19.91;71
13.03.2018;29.1;48;6.71;290;17;270;25.95;72
14.03.2018;31.1;44.1;7.61;280;18.12;310;31.99;73
16.03.2018;39;68;5.82;290;17;260;31.09;75
17.03.2018;34;71.1;6.26;230;25.05;220;31.99;76
18.03.2018;39.9;60.1;6.04;40;16.11;40;21.92;77
19.03.2018;44.1;64.9;5.59;120;12.08;230;14.99;78
20.03.2018;36;57;8.72;50;21.03;40;27.07;79
21.03.2018;32;42.1;6.93;290;17;290;27.07;80
23.03.2018;27.1;55.9;3.8;270;16.11;260;23.04;82
24.03.2018;27.1;50;3.58;260;14.99;260;21.03;83
25.03.2018;33.1;54;9.84;50;21.03;90;27.96;84
26.03.2018;32;53.1;10.29;40;19.91;40;25.05;85
27.03.2018;34;48.9;5.37;220;14.09;210;17;86
28.03.2018;43;75.9;10.74;240;21.92;230;29.08;87
29.03.2018;55.9;80.1;13.87;230;25.05;230;31.99;88
31.03.2018;39.9;64;5.82;200;14.09;210;19.01;90
01.04.2018;41;75;7.61;230;16.11;240;19.91;91
03.04.2018;45;75;7.61;200;19.91;200;25.05;93
05.04.2018;34;61;3.58;270;10.07;280;17;95
06.04.2018;45;73;11.41;240;25.95;230;33.11;96
08.04.2018;32;52;4.92;40;17;20;25.05;98
09.04.2018;39.9;57;5.14;120;16.11;130;19.91;99
11.04.2018;37.9;62.1;5.37;230;12.08;230;18.12;101
